"sname","district","pzoon","fzoon","mark"
"北峰國小","汐止區","中興里、福德里、康福里、興福里、環河里（6－10鄰）、樟樹里（6－8、10－11鄰）","樟樹里（9鄰）【北峰、樟樹國小自由學區】",""
"北港國小","汐止區","拱北里、烘內里、八連里（5－10鄰）","八連里（1－4鄰）【北港、汐止國小自由學區】",""
"白雲國小","汐止區","橫科里、福山里","一、白雲里（1－9鄰）【白雲、汐止、秀峰國小自由學區】 二、宜興里、東勢里【白雲國小、臺北市舊莊、胡適國小自由學區】 三、臺北市南港區中研里、九如里【白雲國小、臺北市舊莊、胡適、南港國小自由學區】 四、臺北市南港區舊莊里【白雲國小、臺北市舊莊國小自由學區】 五、臺北市南港區新富里【白雲國小、臺北市南港國小自由學區】","開放為全市自由學區。"
"汐止國小","汐止區","仁德里、義民里、禮門里、智慧里、大同里、信望里、江北里","一、復興里【汐止、秀峰國小自由學區】 二、白雲里（1－9鄰）【汐止、白雲、秀峰國小自由學區】 三、八連里（1－4鄰）【汐止、北港國小自由學區】",""
"秀峰國小","汐止區","秀峰里、秀山里、福安里","一、復興里【秀峰、汐止國小自由學區】 二、白雲里（1－9鄰）【秀峰、白雲、汐止國小自由學區】 三、白雲里（10－26鄰）【秀峰、青山國中小國小部自由學區】 四、新昌里（15－30鄰）【秀峰、崇德國小自由學區】","◎青山國中小國小部學區內學齡兒童（文化里、自強里），兄姐已就讀秀峰國小者，為方便家長接送可優先就讀秀峰國小。 ◎紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。"
"東山國小","汐止區","東山里","","開放為全市自由學區。"
"金龍國小","汐止區","北峰里、金龍里、湖光里、湖蓮里、湖興里、北山里、環河里（1－5鄰）","一、長青里【金龍國小、臺北市大湖國小自由學區】 二、忠山里【金龍國小、臺北市東湖國小自由學區】",""
"長安國小","汐止區","鄉長里、長安里、保長里","建成里（19－23鄰）【長安、崇德國小自由學區】",""
"青山國中小國小部","汐止區","文化里、自強里","白雲里（10－26鄰）【青山國中小國小部、秀峰國小自由學區】","紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。"
"保長國小","汐止區","保新里、保安里","",""
"崇德國小","汐止區","茄苳里、崇德里、橋東里、建成里(1－18鄰)、城中里、新昌里（1－14、31－35鄰）","一、新昌里（15－30鄰）【崇德、秀峰國小自由學區】 二、建成里（19－23鄰）【崇德、長安國小自由學區】",""
"樟樹國小","汐止區","忠孝里、山光里、厚德里、樟樹里（1－5、12－14鄰）","樟樹里（9鄰）【樟樹、北峰國小自由學區】",""
